zip,sumtotal
30161,850
33462,850
33484,850
34211,850
34695,850
36092,850
43207,850
55402,850
57104,850
70737,850
77076,850
77836,850
84015,850
85050,850
85206,850
85541,850
89703,850
92307,850
94112,850
95662,850
96003,850
97089,850
30144,845
44121,845
94061,845
98166,845
98274,845
22630,840
28391,840
32578,840
33131,840
63366,840
75948,840
95023,840
11722,835
27360,835
33411,835
33912,835
36401,835
49120,835
91701,835
98052,835
99803,835
97050,834
19103,830
28078,830
39305,830
46514,830
59602,830
89019,830
91748,830
01810,825
03818,825
08610,825
19341,825
27282,825
43950,825
47129,825
63304,825
71635,825
75126,825
19014,822
14031,820
17055,820
28470,820
38120,820
61759,820
71270,820
77388,819.55
06032,815
30068,815
37072,815
44144,815
52240,815
79735,815
89113,814.36
06371,810
11375,810
30004,810
73162,810
74063,810
85643,810
92106,810
98005,810
78418,805.2
02116,805
19904,805
19970,805
34472,805
68130,805
92128,805
93004,805
92064,804
38119,803
02817,800
04915,800
10010,800
13066,800
13078,800
15563,800
19709,800
20147,800
27856,800
28124,800
29928,800
31539,800
32064,800
32566,800
32827,800
33592,800
33955,800
33990,800
34232,800
34987,800
38663,800
43085,800
48073,800
48723,800
61821,800
63348,800
63367,800
64055,800
72901,800
75070,800
77904,800
80013,800
86326,800
89410,800
89502,800
90630,800
91367,800
93105,800
94303,800
95320,800
98026,800
98661,800
98801,800
99645,800
02633,795
08742,795
10310,795
17522,795
31411,795
33708,795
70123,795
35212,792.5
12590,790
30066,790
58103,790
79407,790
85750,790
92101,790
92627,790
20905,785
34683,785
75503,785
77082,785
85282,785
92706,785
97015,782
32606,780.97
06355,780
17050,780
34471,780
44883,780
55342,780
67525,780
77584,780
91901,780
73123,777
06611,775
15017,775
19446,775
32809,775
38125,775
39571,775
44123,775
46304,775
49014,775
61761,775
73951,775
84092,775
88061,775
94920,775
96701,775
97526,775
02769,770
24503,770
32960,770
36608,770
56001,770
58504,770
64093,770
64601,770
77627,770
91306,770
94501,770
66206,768
19966,765
24551,765
42701,765
54494,765
78757,765
89521,765
94803,765
95127,765
95949,765
98292,765
03854,760
27215,760
29501,760
33065,760
34288,760
37067,760
45324,760
46703,760
48116,760
55122,760
60435,760
76401,760
78003,760
78216,760
78412,760
79416,760
85142,760
92694,760
91773,758.05
77477,758
11201,755
17019,755
22313,755
22940,755
23452,755
29732,755
37830,755
45320,755
71303,755
77833,755
78504,755
80235,755
80304,755
80921,755
84081,755
95821,755
98042,755
98040,753
95451,751
01473,750
02891,750
03842,750
04901,750
05059,750
06040,750
06896,750
07039,750
07071,750
07631,750
07730,750
08701,750
11379,750
11780,750
11793,750
13491,750
14092,750
16870,750
18823,750
19801,750
20190,750
21032,750
21622,750
23968,750
24340,750
24541,750
27018,750
27030,750
27107,750
27295,750
27519,750
27609,750
28557,750
28717,750
29715,750
30324,750
30542,750
30750,750
32514,750
33084,750
33486,750
33578,750
37138,750
37360,750
37659,750
38261,750
39170,750
39531,750
40241,750
41091,750
41102,750
43302,750
44601,750
45208,750
46106,750
48173,750
48192,750
50210,750
50312,750
52333,750
52411,750
53403,750
54913,750
55044,750
55920,750
56293,750
59872,750
60061,750
60178,750
60430,750
60441,750
60462,750
61015,750
61032,750
61530,750
64430,750
65737,750
66801,750
67601,750
70403,750
71001,750
71019,750
71457,750
71463,750
73020,750
74132,750
75090,750
75098,750
75208,750
75367,750
75661,750
75855,750
77375,750
77493,750
77651,750
77830,750
78002,750
78010,750
78154,750
78228,750
78279,750
79424,750
79938,750
80831,750
83647,750
84105,750
85382,750
86351,750
88012,750
88312,750
89123,750
90043,750
91024,750
91320,750
91423,750
91724,750
91741,750
91752,750
91784,750
92127,750
92503,750
92662,750
93230,750
93443,750
94065,750
94583,750
94596,750
94705,750
95307,750
95423,750
95540,750
95695,750
95776,750
97070,750
97471,750
97702,750
98365,750
99027,750
99163,750
99901,750
11755,745
19111,745
21030,745
32217,745
32547,745
50588,745
60175,745
75701,745
77339,745
78233,745
80401,745
89108,745
93619,745
94941,745
97211,745
28540,742.28
11223,740
20176,740
47374,740
51201,740
60026,740
74820,740
91362,740
17603,736
11005,735
31520,735
48180,735
73142,735
78253,735
80513,735
92107,735
92656,735
88062,734.1
07931,733.65
10704,730
21813,730
31059,730
32503,730
42754,730
53189,730
55024,730
