zip_code,sumtotal
95258,1800
96814,1800
99203,1800
94518,1796
44022,1794
85018,1794
94015,1794
33467,1793.5
10069,1789
60067,1788
94546,1787.5
97459,1785
77551,1783.82
01915,1780
25443,1780
94533,1780
77090,1778
01230,1777
02135,1776
08535,1775
07090,1774
11561,1773
05301,1769
20853,1769
01054,1768
07006,1768
19406,1767
54601,1767
08057,1766
53704,1766
97756,1765
98226,1764
53562,1762
08816,1761
55406,1761
60626,1760.5
10533,1759
91786,1758
59701,1757
11566,1756
92373,1756
80439,1755
28787,1751
03750,1750
23059,1750
02460,1746
55123,1745
48025,1744
12203,1742
20602,1742
94521,1742
30087,1740
97035,1740
12603,1739.5
18017,1737
95008,1734.3600000000001
77041,1732
78701,1732
94587,1730.5
80214,1721
83702,1720
34112,1719
97203,1716.5
85251,1715
01702,1708.18
73116,1707
99801,1707
14450,1705.5
05701,1705
33486,1705
37129,1704
78756,1702
34108,1700
80230,1700
99707,1700
19123,1699.5
90808,1698
19380,1697
22044,1696
19317,1695
52240,1695
92260,1693.25
92124,1692
30067,1691
20764,1690
11226,1688
91501,1688
33433,1687
85254,1685
33414,1684
15143,1683
17112,1682
59601,1680
19034,1673
98406,1672
30039,1671
94702,1671
32713,1670
46268,1669
92009,1669
97333,1667
44240,1665
83353,1665
77057,1664
08550,1663.5
85331,1663
89144,1662
47408,1660
55331,1660
68505,1660
04105,1659
19067,1659
98011,1659
92211,1658
10005,1650
78723,1647
97124,1647
94930,1645
21136,1642
83201,1642
30506,1640
85028,1640
72701,1639
27104,1637
32903,1635
94506,1634
21217,1630
95134,1630
55415,1628
95340,1628
32080,1626
95023,1626
98043,1626
11557,1625
12308,1625
49341,1625
55416,1625
78619,1623
85739,1623
94612,1622.66
46226,1622
94605,1622
77263,1620
90404,1620
28704,1618
91912,1615
20774,1614
94124,1613
01944,1611
92223,1609
17603,1604
55104,1604
95640,1603
20879,1601
94132,1601
30064,1600
48195,1600
97223,1600
98663,1600
07024,1599
55102,1599
75019,1595
22310,1594
05346,1592
02142,1591
19711,1591
10601,1588
77401,1586
97477,1586
19312,1585
19348,1585
33042,1585
01867,1584
73034,1584
11563,1583
55437,1583
44106,1580
19440,1579
20607,1579
76013,1575
78733,1575
33919,1574
55391,1574
77096,1574
32312,1573
45429,1572
34102,1570
47591,1570
68516,1570
95037,1569
97402,1569
03824,1568
78748,1568
60076,1563
28739,1560
02748,1559
52245,1558.5
78230,1556
33704,1555
97301,1553
27312,1551
32963,1550.5
34229,1550
37409,1550
95121,1550
96790,1550
96001,1549
22153,1547
60018,1547
92110,1546
92656,1545
75093,1544
11433,1541.5
32224,1541
75209,1540
99208,1539.59
94542,1539
03257,1538
27106,1538
30907,1537.5
98058,1537.5
95503,1533
98042,1533
19808,1532
97068,1532
80023,1531
27534,1530
49072,1530
29412,1528
07401,1525
31909,1525
81620,1525
11435,1523
11968,1521
94949,1521
13210,1518
20176,1518
98506,1518
01770,1515
99352,1515
30324,1511
21286,1510.5
27560,1510
04086,1509
92120,1508
92653,1507
95519,1506
22309,1504
80211,1504
75069,1501
19125,1500
30054,1500
44072,1500
54865,1500
55404,1500
80960,1500
98391,1499
63131,1495
85629,1495
34201,1494.5
01701,1494
60625,1494
63017,1494
10520,1491
10560,1491
04103,1490
45244,1490
75007,1489.5
60462,1489.3400000000001
04102,1489
87108,1489
90293,1488.5
05055,1488
08873,1488
